Linha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
908,16,16,16,21,34,37,40,41,41,41,41,41,41,47,47,46,47,45,47,49,49,49,48,48
SVA665,10,10,10,11,7,5,7,10,11,14,13,12,10,11,13,14,17,16,17,16,15,14,14,12
2305,16,16,16,16,14,14,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16
2303,9,9,9,10,5,3,4,4,6,7,8,7,7,8,7,0,0,0,0,0,0,0,0,0
2302,12,12,12,8,7,11,13,13,13,13,14,13,13,14,14,13,14,14,14,14,14,14,14,14
SV342,1,1,1,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
913,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
914,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2309,1,1,1,1,1,2,4,4,2,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0
915,0,0,0,0,0,0,0,6,6,6,5,5,5,5,5,5,6,6,5,5,5,5,5,5
2308,1,1,1,2,1,2,2,3,3,3,4,4,3,2,2,0,0,0,0,0,0,0,0,0
917,11,6,1,1,16,28,34,32,31,31,30,29,29,29,27,24,29,29,28,26,26,23,22,16
2307,3,3,2,2,3,3,2,3,3,3,2,3,3,3,3,0,0,0,0,0,0,0,0,0
918,29,29,29,29,29,29,29,26,25,25,25,25,25,26,25,0,0,0,0,0,0,0,0,0
919,4,1,1,1,4,11,14,16,16,17,17,18,17,16,16,16,18,18,18,18,17,16,16,11
SV335,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4,4,4,4,4,4,4,5,7,6,7,8,8,8,8,7,7,8,8,8,8,6,6,6
2,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4
6,9,6,8,8,9,9,10,10,10,9,8,8,8,8,8,8,8,7,8,8,8,8,8,8
7,10,10,11,11,10,11,11,11,10,13,13,13,13,14,14,14,12,13,14,14,14,13,14,13
920,2,2,3,2,14,30,37,33,31,30,30,29,31,32,29,31,32,31,30,30,29,23,17,8
2310,0,0,0,4,8,17,26,27,27,26,23,21,18,19,20,0,0,0,0,0,0,0,0,0
801,6,4,3,2,1,5,16,18,18,18,6,6,6,6,6,0,0,0,0,0,0,0,0,0
922,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
802,15,14,12,13,14,15,18,16,17,17,17,18,17,18,19,0,0,0,0,0,0,0,0,0
923,0,0,0,0,2,4,5,5,5,5,5,5,5,6,7,0,0,0,0,0,0,0,0,0
803,11,8,4,8,15,29,28,32,32,32,32,29,30,30,27,0,0,0,0,0,0,0,0,0
924,1,1,1,1,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
804,22,21,18,0,11,20,22,23,23,24,24,25,26,26,25,0,0,0,0,0,0,0,0,0
925,4,4,4,4,6,8,7,7,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4
926,10,6,1,5,9,13,19,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0
805,0,0,0,0,0,0,0,14,16,16,16,16,16,16,16,16,17,16,15,16,16,17,15,14
928,4,3,3,1,8,16,24,22,21,22,21,21,21,22,23,23,22,22,21,19,18,17,15,11
807,2,2,0,0,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0
SPB350,12,12,12,12,9,13,18,14,14,14,14,14,14,14,14,14,14,14,14,13,15,15,14,13
2331,0,0,0,0,0,1,1,3,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
SV367,0,0,0,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SV249,4,4,3,1,1,1,2,3,4,3,0,2,2,1,1,3,2,2,3,5,5,5,5,4
811,3,1,0,0,1,1,1,1,5,5,5,4,4,4,3,0,0,0,0,0,0,0,0,0
812,1,0,0,2,6,8,9,9,9,3,3,4,4,5,6,0,0,0,0,0,0,0,0,0
813,3,3,1,0,1,2,3,2,2,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0
934,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
935,3,4,4,3,4,4,4,4,5,4,4,4,4,4,4,5,6,5,5,5,5,5,5,5
936,0,0,0,0,0,0,10,11,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2329,13,14,6,0,1,4,14,18,17,19,20,21,20,24,20,21,21,20,17,18,19,18,17,16
819,5,1,1,3,11,14,16,17,16,17,17,17,17,18,17,0,0,0,0,0,0,0,0,0
2342,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2339,21,21,16,2,9,16,20,21,22,22,22,23,23,23,24,0,0,0,0,0,0,0,0,0
2338,22,20,22,22,22,22,25,23,22,23,21,21,20,21,17,0,0,0,0,0,0,0,0,0
2337,4,4,4,0,3,4,5,6,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2336,34,34,20,3,16,29,32,32,33,33,34,33,35,34,35,0,0,0,0,0,0,0,0,0
2335,29,29,25,1,8,18,25,27,28,30,32,33,33,32,30,0,0,0,0,0,0,0,0,0
940,12,12,11,9,6,11,12,13,13,12,12,14,13,13,14,15,16,16,16,16,16,15,14,14
2334,19,19,20,20,20,20,22,21,19,22,23,23,19,21,20,0,0,0,0,0,0,0,0,0
